id,runs,type,bowler
162115,1,wides,AS Rajpoot
162121,1,byes,MJ McClenaghan
162129,1,wides,M Markande
162165,1,wides,HH Pandya
162166,1,wides,HH Pandya
162190,1,wides,JJ Bumrah
162202,1,legbyes,KH Pandya
162203,1,byes,MJ McClenaghan
162208,1,wides,MJ McClenaghan
162241,1,legbyes,S Kaul
162337,1,wides,YS Chahal
162350,1,legbyes,Mohammed Siraj
162351,1,wides,Mohammed Siraj
162354,1,wides,TG Southee
162363,1,legbyes,Mohammed Siraj
162431,1,byes,S Kaul
162439,1,wides,Basil Thampi
162445,1,wides,Sandeep Sharma
162455,1,wides,DL Chahar
162461,1,wides,DL Chahar
162467,2,legbyes,L Ngidi
162510,1,legbyes,TA Boult
162539,1,wides,DJ Bravo
162543,1,legbyes,DJ Bravo
162564,1,wides,DJ Bravo
162585,1,wides,L Ngidi
162586,1,wides,L Ngidi
162700,1,legbyes,HV Patel
162749,1,byes,K Gowtham
162785,1,wides,C de Grandhomme
162787,1,wides,C de Grandhomme
162789,1,wides,C de Grandhomme
162798,1,legbyes,Mohammed Siraj
162838,1,wides,TG Southee
162917,1,wides,JC Archer
162936,1,legbyes,JC Archer
162948,1,wides,Sandeep Sharma
162949,1,wides,Sandeep Sharma
162969,1,legbyes,S Kaul
162982,1,wides,M Prasidh Krishna
