id,batsman,bowler,runs
2251,RV Uthappa,S Sreesanth,6
2254,DJ Bravo,S Sreesanth,4
2263,SS Tiwary,PP Chawla,4
2266,Yuvraj Singh,SM Pollock,6
2267,Yuvraj Singh,SM Pollock,4
2290,KC Sangakkara,MA Khote,4
2292,KC Sangakkara,MA Khote,4
2294,DPMD Jayawardene,MA Khote,6
2295,KC Sangakkara,DJ Bravo,4
2302,KC Sangakkara,Harbhajan Singh,4
2312,MA Khote,S Sreesanth,4
2341,SM Pollock,S Sreesanth,4
2357,SS Tiwary,VRV Singh,4
2359,SM Pollock,VRV Singh,4
2360,SM Pollock,VRV Singh,6
2362,SS Tiwary,VRV Singh,6
2378,YK Pathan,P Kumar,4
2379,YK Pathan,P Kumar,4
2381,YK Pathan,Z Khan,4
2384,YK Pathan,Z Khan,4
2391,YK Pathan,P Kumar,4
2395,GC Smith,Z Khan,4
2402,GC Smith,R Vinay Kumar,4
2410,GC Smith,Z Khan,4
2415,GC Smith,R Vinay Kumar,4
2417,SR Watson,A Kumble,4
2418,SR Watson,A Kumble,4
2438,P Kumar,SK Warne,4
2442,Z Khan,SK Trivedi,4
2443,Z Khan,SK Trivedi,4
2464,LRPL Taylor,Sohail Tanvir,6
2465,LRPL Taylor,Sohail Tanvir,6
2472,LRPL Taylor,Sohail Tanvir,4
2474,LRPL Taylor,Sohail Tanvir,4
2477,LRPL Taylor,Sohail Tanvir,4
2478,JH Kallis,SR Watson,4
2479,JH Kallis,SR Watson,4
2482,LRPL Taylor,SR Watson,4
2487,LRPL Taylor,MM Patel,4
2488,LRPL Taylor,MM Patel,6
2489,LRPL Taylor,MM Patel,4
2507,V Kohli,SK Trivedi,6
2531,P Kumar,YK Pathan,6
2540,P Kumar,SK Trivedi,4
2547,P Kumar,SK Warne,6
2548,P Kumar,SK Warne,6
2558,M Kaif,Z Khan,4
2560,SR Watson,SB Joshi,4
2564,GC Smith,SB Joshi,4
2573,SR Watson,SB Joshi,6
2577,SR Watson,P Kumar,4
2578,SR Watson,P Kumar,6
2579,SR Watson,P Kumar,4
2580,SR Watson,P Kumar,4
2581,SR Watson,P Kumar,4
2582,SR Watson,P Kumar,4
2590,GC Smith,JH Kallis,4
2601,GC Smith,SB Joshi,4
2602,GC Smith,SB Joshi,4
2610,BB McCullum,MS Gony,4
2611,BB McCullum,MS Gony,6
2612,BB McCullum,MS Gony,4
2615,BB McCullum,JDP Oram,6
